Product Name,Top Category,Category Name,Country,Brand,SKU_ARRAY,GTIN
Fearless Energy Drink Red Berry 12 X 500ml,Beverages,Sports & Energy Drinks,Nigeria,Fearless,"[
  ""BNE-062"",
  ""TDV-042"",
  ""IFP-060"",
  ""SNS-016"",
  ""SSV-016"",
  ""CLF-016"",
  ""KOV-022"",
  ""KMS-013"",
  ""TSV-037"",
  ""IBS-016"",
  ""AAE-082"",
  ""SAS-016"",
  ""IKF-025"",
  ""AVI-035"",
  ""EFF-024"",
  ""IHV-090"",
  ""NIV-110"",
  ""LIC-043"",
  ""MTU-189"",
  ""FIE-113"",
  ""IBL-010"",
  ""OJS-050"",
  ""FSS-056"",
  ""OTV-054"",
  ""FFP-007"",
  ""AXV-007"",
  ""NDV-044"",
  ""MTS-128"",
  ""KDS-032"",
  ""NGO-265"",
  ""EWG-047"",
  ""BOA-057"",
  ""JCN-057"",
  ""TUC-055"",
  ""JCM-057"",
  ""GSV-038"",
  ""AUN-057"",
  ""FOV-057"",
  ""MZS-182"",
  ""PUM-054"",
  ""BHN-013"",
  ""FHG-007"",
  ""OEM-054"",
  ""COG-034"",
  ""ANC-082"",
  ""HNE-082"",
  ""FAB-082"",
  ""YAB-062"",
  ""DDV-023"",
  ""MAA-031"",
  ""NDG-033"",
  ""USL-019"",
  ""RGV-189""
]",5051615008715
Fanta Pet 12 X 35cl,Beverages,Fizzy Drinks,Nigeria,Fanta,"[
  ""BNE-044"",
  ""DTS-076"",
  ""SGL-036"",
  ""NIV-017"",
  ""AIN-041"",
  ""DES-059"",
  ""OAA-033"",
  ""GLI-039"",
  ""FFN-035"",
  ""BKV-027"",
  ""HDE-008"",
  ""IFP-041"",
  ""DBG-013"",
  ""ONT-038"",
  ""PLT-015"",
  ""OBA-054"",
  ""FNF-054"",
  ""RDN-009"",
  ""BZG-054"",
  ""MTD-044"",
  ""OAN-374"",
  ""AAE-061"",
  ""MZS-112"",
  ""TGV-240"",
  ""IHV-056"",
  ""MTU-141"",
  ""SBL-043"",
  ""GGP-058"",
  ""OJS-036"",
  ""FSS-038"",
  ""OTV-038"",
  ""NDV-025"",
  ""MTS-074"",
  ""ACV-021"",
  ""GRG-028"",
  ""BPL-012"",
  ""BPL-002"",
  ""NAN-011"",
  ""GPS-016"",
  ""MBS-013"",
  ""KDS-008"",
  ""NGO-209"",
  ""STP-007"",
  ""OBZ-013"",
  ""WME-039"",
  ""WSE-062"",
  ""SDE-022"",
  ""AKT-107"",
  ""MZS-029"",
  ""AME-062"",
  ""CTI-045"",
  ""MZS-172"",
  ""ANC-054"",
  ""HNE-054"",
  ""FAB-054"",
  ""YAB-036"",
  ""JNE-032"",
  ""MAA-024"",
  ""BCI-013"",
  ""DMS-033"",
  ""HIE-062"",
  ""BVS-062"",
  ""GWS-021"",
  ""LBS-029"",
  ""HOM-105"",
  ""USL-015"",
  ""VVW-021"",
  ""AMC-031"",
  ""GWV-019"",
  ""FLI-142"",
  ""RGV-141"",
  ""HPR-142""
]",''
Big Cola 12 X 360ml,Beverages,Fizzy Drinks,Nigeria,Big Cola,"[
  ""DTS-032"",
  ""SGL-004"",
  ""AIN-006"",
  ""DES-018"",
  ""EIV-008"",
  ""UAL-004"",
  ""GVL-009-1"",
  ""GVL-009"",
  ""EJN-054"",
  ""MGS-120"",
  ""AWR-003"",
  ""RVS-028"",
  ""TEF-002"",
  ""DFM-005"",
  ""ARI-002"",
  ""BOR-003"",
  ""KOV-005"",
  ""RRV-024"",
  ""JMB-052"",
  ""OLT-001"",
  ""RZE-018"",
  ""DOS-002"",
  ""ODL-007"",
  ""IHV-019"",
  ""SBL-006"",
  ""GGP-005"",
  ""FFP-015"",
  ""AXV-011"",
  ""GRG-004"",
  ""NAN-009"",
  ""MBS-009"",
  ""NGO-093"",
  ""SEL-007"",
  ""WSE-032"",
  ""SIE-054"",
  ""NKE-054"",
  ""FIS-054"",
  ""DDD-007"",
  ""MGC-053"",
  ""AME-032"",
  ""FHG-015"",
  ""AON-003"",
  ""HIE-032"",
  ""BVS-032"",
  ""FLI-050"",
  ""HPR-050""
]",''
Sprite Lemon Lime No Sugar 12 X 50cl,Beverages,Fizzy Drinks,Nigeria,Sprite,"[
  ""BNE-020"",
  ""RLG-035"",
  ""DES-041"",
  ""CNM-030"",
  ""OAA-021"",
  ""LAM-082"",
  ""BKV-017"",
  ""SAG-026"",
  ""IFP-019"",
  ""DBG-008"",
  ""AAE-039"",
  ""MZS-098"",
  ""IKF-006"",
  ""NDV-018"",
  ""MUP-034"",
  ""GRG-014"",
  ""NGO-177"",
  ""WME-023"",
  ""MTU-122"",
  ""FSS-020"",
  ""OTV-025"",
  ""SDE-014"",
  ""LBS-015"",
  ""VVW-007"",
  ""AMC-017"",
  ""RGV-122""
]",The GTIN for 'Sprite Lemon Lime No Sugar 12 X 50cl' is 5449000238842.
Bevi Mix Mango 24 X 6g,Beverages,Powdered Beverage Mixes,Nigeria,Bevi Mix,"[
  ""MLV-044""
]",''
Ovaltine Sachet 12 X 400g,Beverages,Powdered Beverage Mixes,Nigeria,Ovaltine,"[
  ""PSR-022"",
  ""FCC-006"",
  ""RIL-016"",
  ""EGE-003"",
  ""AIL-005"",
  ""CFO-214"",
  ""AUE-014"",
  ""MID-005"",
  ""ATE-005"",
  ""PDG-005"",
  ""FCU-007"",
  ""CVT-002"",
  ""OKG-002"",
  ""WTM-029""
]",''
Iphone 13 Pro Max Fashion Case,Electronics,Mobile Phone Cases,Nigeria,iPhone,"[
  ""MAC-015""
]",''
Ayoola Poundo Yam Flour 10 X 900g,Food,Flour,Nigeria,Ayoola,"[
  ""BGR-046""
]",0634158793652
Auntie B Pasta Spaghetti 20 X 500g,Food,Pasta & Noodles,Nigeria,Auntie B,"[
  ""BGR-036""
]",''
Golden Penny Garri 5kg,Food,Flour,Nigeria,GOLDEN PENNY,"[
  ""BGR-034"",
  ""YAZ-017"",
  ""YAE-017""
]",''
Goldenvita Whole Wheat Meal 10 X 1kg,Food,Flour,Nigeria,GOLDEN PENNY,"[
  ""BGR-030""
]",''
Parle-G Original Gluco Biscuits 48 X 45g,Food,Biscuits,Nigeria,Parle,"[
  ""SFC-011-1"",
  ""SFC-011"",
  ""KIP-011"",
  ""AGT-032"",
  ""TIE-164"",
  ""NGO-015"",
  ""FSE-107"",
  ""CHA-116"",
  ""ASN-107"",
  ""EJG-117"",
  ""MIL-116"",
  ""JAS-104"",
  ""MMG-105"",
  ""IFR-115"",
  ""FUV-018"",
  ""SFG-018"",
  ""ADS-015"",
  ""WTM-163""
]",8901719300012
Fungyue For You Goat Meat Seasoning 50 X 10g,Food,Seasonings & Spices,Nigeria,FungYue,"[
  ""EBL-026"",
  ""AGI-028"",
  ""HKV-039"",
  ""OBI-001""
]",6958656800323
Twisco Food Drink Powder Sachet 250 X 23g,Beverages,Powdered Beverage Mixes,Nigeria,Twisco,"[
  ""EBL-011"",
  ""TSH-143"",
  ""SOR-011"",
  ""XMG-011"",
  ""AJG-011"",
  ""KKG-011"",
  ""TJS-011"",
  ""ASW-055"",
  ""OAV-011"",
  ""BZS-011"",
  ""JJE-011"",
  ""LRL-011"",
  ""GNL-020"",
  ""CTE-011"",
  ""PDG-028"",
  ""BSB-122"",
  ""KTV-020"",
  ""SOO-011"",
  ""ODS-011"",
  ""ZFG-011"",
  ""ZDE-011"",
  ""MMV-010"",
  ""RVL-020"",
  ""TGE-019"",
  ""CUT-022""
]",''
Lily Pad Ultra Soft (Long) 8 X 16pcs,Toiletries,Feminine Sanitary Supplies,Nigeria,Lily Pad,"[
  ""RRL-027""
]",''
Rose Belle Kitchen Towel 2 Ply X 4,Home & Garden,Kitchen Paper,Nigeria,Rose Belle,"[
  ""GVL-034"",
  ""EIL-008""
]",''
Energro All Milk Biscuits 24 X 40g,Food,Biscuits,Nigeria,Energro,"[
  ""PTF-071"",
  ""BGS-098"",
  ""BSB-080"",
  ""OKN-088""
]",''
Golden Penny Twist 20 X 500g,Food,Pasta & Noodles,Nigeria,GOLDEN PENNY,"[
  ""BGR-012"",
  ""EXS-028"",
  ""OEN-017"",
  ""EBL-010"",
  ""SNL-054"",
  ""TSH-042"",
  ""KAZ-010"",
  ""PTF-050"",
  ""MGS-146"",
  ""JNS-004"",
  ""CFM-003"",
  ""OEN-133"",
  ""SGM-008"",
  ""AIB-002"",
  ""DUV-075"",
  ""SSD-097"",
  ""WTM-335"",
  ""LBV-042"",
  ""MMD-092"",
  ""ASY-006"",
  ""BSG-006"",
  ""ACI-009"",
  ""EEM-005"",
  ""HOM-017"",
  ""COE-004"",
  ""HKV-018"",
  ""BUE-015"",
  ""BNS-005"",
  ""DGR-002"",
  ""JPN-013"",
  ""VCE-013"",
  ""FDL-004"",
  ""YMR-010"",
  ""FGE-146"",
  ""WSE-146"",
  ""KVN-006"",
  ""PTV-084"",
  ""AKT-074"",
  ""AME-146"",
  ""TSM-006"",
  ""AMS-005"",
  ""NIE-009"",
  ""MET-006"",
  ""BVS-146"",
  ""DGO-021"",
  ""EBF-021"",
  ""LKS-006"",
  ""ADS-029"",
  ""IGL-021"",
  ""DFV-021"",
  ""STS-015"",
  ""JCL-003""
]",''
Pepsi Diet Pet 12 X 50cl,Beverages,Fizzy Drinks,Nigeria,Pepsi,"[
  ""UAL-029""
]",''
Rose Belle Facial Tissue 2 Ply,Home & Garden,Facial Tissues,Nigeria,Rose Belle,"[
  ""GVL-031"",
  ""RTS-003"",
  ""EIL-005""
]",''
Smirnoff Ice Guranna 24 X 33cl,Beverages,Flavoured Alcoholic Beverages,Nigeria,Smirnoff,"[
  ""LAM-153"",
  ""LDL-013"",
  ""GGV-022"",
  ""PPV-041"",
  ""LDO-009"",
  ""CBM-009"",
  ""QWM-018"",
  ""COS-010"",
  ""OBL-010"",
  ""ELG-010"",
  ""MRN-009"",
  ""MBR-009"",
  ""KIS-009"",
  ""MBL-013"",
  ""OTE-041"",
  ""VAS-011"",
  ""GSM-041"",
  ""CIC-022"",
  ""DEM-022"",
  ""DAE-007"",
  ""MTU-119"",
  ""EDB-119"",
  ""CID-004"",
  ""PND-026"",
  ""PGI-012"",
  ""VAS-044"",
  ""PND-012"",
  ""YOV-012"",
  ""FLI-118"",
  ""RGV-119"",
  ""HPR-117""
]",''
Eva Natural Fairness Soap 48 X 150g,Toiletries,Bar Soap,Nigeria,Eva,"[
  ""EIL-083"",
  ""ESV-008"",
  ""NGV-008"",
  ""GPE-013"",
  ""MAP-031"",
  ""FIT-031"",
  ""GTF-033""
]",''
Meditol Medicated Soap 48 X 75g,Toiletries,Bar Soap,Nigeria,Meditol,"[
  ""EIL-071""
]",''
Sniper Flying Insect Killer 24 X 600ml,Home & Garden,Pesticides,Nigeria,Sniper,"[
  ""JIL-061""
]",8906045455351
